gender;category;product;fabric_type;composition;usage_hint;co2_kg_per_kg
Women;Outerwear;Palto;Düz Örme;%80 Akrilik / %20 Polyester;Dayanıklı akrilik/polyester;19.7
Women;Outerwear;Palto;Düz Örme;%50 Akrilik / %50 Yün;Sıcak tutan triko;50.7
Women;Outerwear;Palto;Düz Örme;%80 Yün / %20 Naylon;Şekil koruyucu triko;68.2
Women;Outerwear;Palto;Düz Örme;%70 Viskon / %30 Polyester;Yumuşak, akıcı triko;11.3
Women;Outerwear;Palto;Düz Örme;%95 Viskon / %5 Elastan;İnce bluz;10.6
Women;Outerwear;Palto;Düz Örme;%100 Pamuk;Yazlık triko;16.4
Women;Outerwear;Palto;Düz Örme;%95 Pamuk / %5 Elastan;Streç tişört/kazak;16.6
Women;Outerwear;Palto;Dokuma;%100 Pamuk;Denim, gömlek, gabardin;16.4
Women;Outerwear;Palto;Dokuma;%61 Pamuk / %39 Polyester;Poplin gömleklik;15.5
Women;Outerwear;Palto;Dokuma;%65 Polyester / %35 Pamuk;Gabardin;15.0
Women;Outerwear;Palto;Dokuma;%97 Pamuk / %3 Elastan;Streç poplin/gabardin;16.5
Women;Outerwear;Palto;Dokuma;%45 Yün / %55 Polyester;Yünlü ceket/gömlek;43.9
Women;Outerwear;Palto;Dokuma;%48 Polyester / %52 Viskon;Oxford;12.1
Women;Outerwear;Palto;Dokuma;%97 Polyester / %3 Elastan;Elbiselik saten;14.4
Women;Outerwear;Palto;Dokuma;%78 Pamuk / %18 Naylon / %4 Elastan;Spor poplin;17.2
Women;Outerwear;Palto;Dokuma;%50 Pamuk / %17 Polyester / %13 Viskon / %20 Keten;Lüks karışım;15.3
Women;Outerwear;Palto;Dokusuz Yüzey;%100 Polipropilen;Spunbond, hijyen ürünleri;2.0
Women;Outerwear;Palto;Dokusuz Yüzey;%80 Polipropilen / %20 Polyester;Döşemelik, nonwoven;4.4
Women;Outerwear;Palto;Dokusuz Yüzey;%50 Polyester / %50 Viskon;Tıbbi bez, temizlik bezi;12.1
Women;Outerwear;Palto;Dokusuz Yüzey;%60 Polyester / %40 Viskon;Tek kullanımlık battaniye;12.6
Women;Outerwear;Palto;Dokusuz Yüzey;%100 Viskon;Hijyenik ped;10.1
Women;Outerwear;Palto;Dokusuz Yüzey;%100 Pamuk;Medikal gazlı bez;16.4
Women;Outerwear;Palto;Dokusuz Yüzey;%80 Pamuk / %20 Polyester;Cerrahi örtü;16.0
Women;Outerwear;Palto;Denim;%100 Pamuk;Geleneksel kot;16.4
Women;Outerwear;Palto;Denim;%99 Pamuk / %1 Elastan;Streç jean;16.4
Women;Outerwear;Palto;Denim;%98 Pamuk / %2 Elastan;Skinny denim;16.5
Women;Outerwear;Palto;Denim;%95 Pamuk / %5 Elastan;Body-fit jean;16.6
Women;Outerwear;Palto;Denim;%85 Pamuk / %12 Polyester / %3 Elastan;Levi’s High Jeans;16.2
Women;Outerwear;Palto;Denim;%80 Pamuk / %19 Polyester / %1 Elastan;Lucky Brand denim;16.0
Women;Outerwear;Palto;Denim;%65 Pamuk / %35 Polyester;Karışımlı denim;15.6
Women;Outerwear;Palto;Denim;%60 Pamuk / %38 Polyester / %2 Elastan;Streç denim;15.6
Women;Outerwear;Palto;Denim;%80 Pamuk / %20 Recycled Pamuk;Sürdürülebilir denim;16.4
Women;Outerwear;Palto;Denim;%70 Pamuk / %29 Polyester / %1 Elastan;Esnek jean;15.8
Women;Dresses;Günlük elbise;Yuvarlak Örme;%95 Pamuk / %5 Elastan;Tişört, basic jersey;16.6
Women;Dresses;Günlük elbise;Yuvarlak Örme;%60 Pamuk / %40 Polyester;Sweatshirt, polar;15.5
Women;Dresses;Günlük elbise;Yuvarlak Örme;%65 Pamuk / %35 Polyester;Basic örme kumaş;15.6
Women;Dresses;Günlük elbise;Yuvarlak Örme;%50 Pamuk / %50 Polyester;Tişört, nevresim;15.3
Women;Dresses;Günlük elbise;Yuvarlak Örme;%79 Viskon / %17 Polyester / %4 Elastan;Jogger, tayt;11.2
Women;Dresses;Günlük elbise;Yuvarlak Örme;%91 Polyester / %9 Elastan;Spor tişört;14.7
Women;Dresses;Günlük elbise;Yuvarlak Örme;%88 Naylon / %12 Elastan;Spor tayt, iç giyim;20.0
Women;Dresses;Günlük elbise;Yuvarlak Örme;%95 Modal / %5 Elastan;Spor üst, atlet;10.6
Women;Dresses;Günlük elbise;Yuvarlak Örme;%97 Pamuk / %3 Elastan;Hafif streçli tişört;16.5
Women;Dresses;Günlük elbise;Düz Örme;%100 Akrilik;Ekonomik kazak;21.1
Women;Dresses;Günlük elbise;Düz Örme;%80 Akrilik / %20 Polyester;Dayanıklı akrilik/polyester;19.7
Women;Dresses;Günlük elbise;Düz Örme;%50 Akrilik / %50 Yün;Sıcak tutan triko;50.7
Women;Dresses;Günlük elbise;Düz Örme;%80 Yün / %20 Naylon;Şekil koruyucu triko;68.2
Women;Dresses;Günlük elbise;Düz Örme;%70 Viskon / %30 Polyester;Yumuşak, akıcı triko;11.3
Women;Dresses;Günlük elbise;Düz Örme;%95 Viskon / %5 Elastan;İnce bluz;10.6
Women;Dresses;Günlük elbise;Düz Örme;%100 Pamuk;Yazlık triko;16.4
Women;Dresses;Günlük elbise;Düz Örme;%95 Pamuk / %5 Elastan;Streç tişört/kazak;16.6
Women;Dresses;Günlük elbise;Dokuma;%100 Pamuk;Denim, gömlek, gabardin;16.4
Women;Dresses;Günlük elbise;Dokuma;%61 Pamuk / %39 Polyester;Poplin gömleklik;15.5
Women;Dresses;Günlük elbise;Dokuma;%65 Polyester / %35 Pamuk;Gabardin;15.0
Women;Dresses;Günlük elbise;Dokuma;%97 Pamuk / %3 Elastan;Streç poplin/gabardin;16.5
Women;Dresses;Günlük elbise;Dokuma;%45 Yün / %55 Polyester;Yünlü ceket/gömlek;43.9
Women;Dresses;Günlük elbise;Dokuma;%48 Polyester / %52 Viskon;Oxford;12.1
Women;Dresses;Günlük elbise;Dokuma;%97 Polyester / %3 Elastan;Elbiselik saten;14.4
Women;Dresses;Günlük elbise;Dokuma;%78 Pamuk / %18 Naylon / %4 Elastan;Spor poplin;17.2
Women;Dresses;Günlük elbise;Dokuma;%50 Pamuk / %17 Polyester / %13 Viskon / %20 Keten;Lüks karışım;15.3
Women;Dresses;Günlük elbise;Dokusuz Yüzey;%100 Polipropilen;Spunbond, hijyen ürünleri;2.0
Women;Dresses;Günlük elbise;Dokusuz Yüzey;%80 Polipropilen / %20 Polyester;Döşemelik, nonwoven;4.4
Women;Dresses;Günlük elbise;Dokusuz Yüzey;%50 Polyester / %50 Viskon;Tıbbi bez, temizlik bezi;12.1
Women;Dresses;Günlük elbise;Dokusuz Yüzey;%60 Polyester / %40 Viskon;Tek kullanımlık battaniye;12.6
Women;Dresses;Günlük elbise;Dokusuz Yüzey;%100 Viskon;Hijyenik ped;10.1
Women;Dresses;Günlük elbise;Dokusuz Yüzey;%100 Pamuk;Medikal gazlı bez;16.4
Women;Dresses;Günlük elbise;Dokusuz Yüzey;%80 Pamuk / %20 Polyester;Cerrahi örtü;16.0
Women;Dresses;Günlük elbise;Denim;%100 Pamuk;Geleneksel kot;16.4
Women;Dresses;Günlük elbise;Denim;%99 Pamuk / %1 Elastan;Streç jean;16.4
Women;Dresses;Günlük elbise;Denim;%98 Pamuk / %2 Elastan;Skinny denim;16.5
Women;Dresses;Günlük elbise;Denim;%95 Pamuk / %5 Elastan;Body-fit jean;16.6
Women;Dresses;Günlük elbise;Denim;%85 Pamuk / %12 Polyester / %3 Elastan;Levi’s High Jeans;16.2
Women;Dresses;Günlük elbise;Denim;%80 Pamuk / %19 Polyester / %1 Elastan;Lucky Brand denim;16.0
Women;Dresses;Günlük elbise;Denim;%65 Pamuk / %35 Polyester;Karışımlı denim;15.6
Women;Dresses;Günlük elbise;Denim;%60 Pamuk / %38 Polyester / %2 Elastan;Streç denim;15.6
Women;Dresses;Günlük elbise;Denim;%80 Pamuk / %20 Recycled Pamuk;Sürdürülebilir denim;16.4
Women;Dresses;Günlük elbise;Denim;%70 Pamuk / %29 Polyester / %1 Elastan;Esnek jean;15.8
Women;Dresses;Tulum;Yuvarlak Örme;%95 Pamuk / %5 Elastan;Tişört, basic jersey;16.6
Women;Dresses;Tulum;Yuvarlak Örme;%60 Pamuk / %40 Polyester;Sweatshirt, polar;15.5
Women;Dresses;Tulum;Yuvarlak Örme;%65 Pamuk / %35 Polyester;Basic örme kumaş;15.6
Women;Dresses;Tulum;Yuvarlak Örme;%50 Pamuk / %50 Polyester;Tişört, nevresim;15.3
Women;Dresses;Tulum;Yuvarlak Örme;%79 Viskon / %17 Polyester / %4 Elastan;Jogger, tayt;11.2
Women;Dresses;Tulum;Yuvarlak Örme;%91 Polyester / %9 Elastan;Spor tişört;14.7
Women;Dresses;Tulum;Yuvarlak Örme;%88 Naylon / %12 Elastan;Spor tayt, iç giyim;20.0
Women;Dresses;Tulum;Yuvarlak Örme;%95 Modal / %5 Elastan;Spor üst, atlet;10.6
Women;Dresses;Tulum;Yuvarlak Örme;%97 Pamuk / %3 Elastan;Hafif streçli tişört;16.5
Women;Dresses;Tulum;Düz Örme;%100 Akrilik;Ekonomik kazak;21.1
Women;Dresses;Tulum;Düz Örme;%80 Akrilik / %20 Polyester;Dayanıklı akrilik/polyester;19.7
Women;Dresses;Tulum;Düz Örme;%50 Akrilik / %50 Yün;Sıcak tutan triko;50.7
Women;Dresses;Tulum;Düz Örme;%80 Yün / %20 Naylon;Şekil koruyucu triko;68.2
Women;Dresses;Tulum;Düz Örme;%70 Viskon / %30 Polyester;Yumuşak, akıcı triko;11.3
Women;Dresses;Tulum;Düz Örme;%95 Viskon / %5 Elastan;İnce bluz;10.6
Women;Dresses;Tulum;Düz Örme;%100 Pamuk;Yazlık triko;16.4
Women;Dresses;Tulum;Düz Örme;%95 Pamuk / %5 Elastan;Streç tişört/kazak;16.6
Women;Dresses;Tulum;Dokuma;%100 Pamuk;Denim, gömlek, gabardin;16.4
Women;Dresses;Tulum;Dokuma;%61 Pamuk / %39 Polyester;Poplin gömleklik;15.5
Women;Dresses;Tulum;Dokuma;%65 Polyester / %35 Pamuk;Gabardin;15.0
Women;Dresses;Tulum;Dokuma;%97 Pamuk / %3 Elastan;Streç poplin/gabardin;16.5
Women;Dresses;Tulum;Dokuma;%45 Yün / %55 Polyester;Yünlü ceket/gömlek;43.9
Women;Dresses;Tulum;Dokuma;%48 Polyester / %52 Viskon;Oxford;12.1
Women;Dresses;Tulum;Dokuma;%97 Polyester / %3 Elastan;Elbiselik saten;14.4
Women;Dresses;Tulum;Dokuma;%78 Pamuk / %18 Naylon / %4 Elastan;Spor poplin;17.2
Women;Dresses;Tulum;Dokuma;%50 Pamuk / %17 Polyester / %13 Viskon / %20 Keten;Lüks karışım;15.3
Women;Dresses;Tulum;Dokusuz Yüzey;%100 Polipropilen;Spunbond, hijyen ürünleri;2.0
Women;Dresses;Tulum;Dokusuz Yüzey;%80 Polipropilen / %20 Polyester;Döşemelik, nonwoven;4.4
Women;Dresses;Tulum;Dokusuz Yüzey;%50 Polyester / %50 Viskon;Tıbbi bez, temizlik bezi;12.1
Women;Dresses;Tulum;Dokusuz Yüzey;%60 Polyester / %40 Viskon;Tek kullanımlık battaniye;12.6
Women;Dresses;Tulum;Dokusuz Yüzey;%100 Viskon;Hijyenik ped;10.1
Women;Dresses;Tulum;Dokusuz Yüzey;%100 Pamuk;Medikal gazlı bez;16.4
Women;Dresses;Tulum;Dokusuz Yüzey;%80 Pamuk / %20 Polyester;Cerrahi örtü;16.0
Women;Dresses;Tulum;Denim;%100 Pamuk;Geleneksel kot;16.4
Women;Dresses;Tulum;Denim;%99 Pamuk / %1 Elastan;Streç jean;16.4
Women;Dresses;Tulum;Denim;%98 Pamuk / %2 Elastan;Skinny denim;16.5
Women;Dresses;Tulum;Denim;%95 Pamuk / %5 Elastan;Body-fit jean;16.6
Women;Dresses;Tulum;Denim;%85 Pamuk / %12 Polyester / %3 Elastan;Levi’s High Jeans;16.2
Women;Dresses;Tulum;Denim;%80 Pamuk / %19 Polyester / %1 Elastan;Lucky Brand denim;16.0
Women;Dresses;Tulum;Denim;%65 Pamuk / %35 Polyester;Karışımlı denim;15.6
Women;Dresses;Tulum;Denim;%60 Pamuk / %38 Polyester / %2 Elastan;Streç denim;15.6
Women;Dresses;Tulum;Denim;%80 Pamuk / %20 Recycled Pamuk;Sürdürülebilir denim;16.4
Women;Dresses;Tulum;Denim;%70 Pamuk / %29 Polyester / %1 Elastan;Esnek jean;15.8
Women;Dresses;Abiye elbise;Yuvarlak Örme;%95 Pamuk / %5 Elastan;Tişört, basic jersey;16.6
Women;Dresses;Abiye elbise;Yuvarlak Örme;%60 Pamuk / %40 Polyester;Sweatshirt, polar;15.5
Women;Dresses;Abiye elbise;Yuvarlak Örme;%65 Pamuk / %35 Polyester;Basic örme kumaş;15.6
Women;Dresses;Abiye elbise;Yuvarlak Örme;%50 Pamuk / %50 Polyester;Tişört, nevresim;15.3
Women;Dresses;Abiye elbise;Yuvarlak Örme;%79 Viskon / %17 Polyester / %4 Elastan;Jogger, tayt;11.2
Women;Dresses;Abiye elbise;Yuvarlak Örme;%91 Polyester / %9 Elastan;Spor tişört;14.7
Women;Dresses;Abiye elbise;Yuvarlak Örme;%88 Naylon / %12 Elastan;Spor tayt, iç giyim;20.0
Women;Dresses;Abiye elbise;Yuvarlak Örme;%95 Modal / %5 Elastan;Spor üst, atlet;10.6
Women;Dresses;Abiye elbise;Yuvarlak Örme;%97 Pamuk / %3 Elastan;Hafif streçli tişört;16.5
Women;Dresses;Abiye elbise;Düz Örme;%100 Akrilik;Ekonomik kazak;21.1
Women;Dresses;Abiye elbise;Düz Örme;%80 Akrilik / %20 Polyester;Dayanıklı akrilik/polyester;19.7
Women;Dresses;Abiye elbise;Düz Örme;%50 Akrilik / %50 Yün;Sıcak tutan triko;50.7
Women;Dresses;Abiye elbise;Düz Örme;%80 Yün / %20 Naylon;Şekil koruyucu triko;68.2
Women;Dresses;Abiye elbise;Düz Örme;%70 Viskon / %30 Polyester;Yumuşak, akıcı triko;11.3
Women;Dresses;Abiye elbise;Düz Örme;%95 Viskon / %5 Elastan;İnce bluz;10.6
Women;Dresses;Abiye elbise;Düz Örme;%100 Pamuk;Yazlık triko;16.4
Women;Dresses;Abiye elbise;Düz Örme;%95 Pamuk / %5 Elastan;Streç tişört/kazak;16.6
Women;Dresses;Abiye elbise;Dokuma;%100 Pamuk;Denim, gömlek, gabardin;16.4
Women;Dresses;Abiye elbise;Dokuma;%61 Pamuk / %39 Polyester;Poplin gömleklik;15.5
Women;Dresses;Abiye elbise;Dokuma;%65 Polyester / %35 Pamuk;Gabardin;15.0
Women;Dresses;Abiye elbise;Dokuma;%97 Pamuk / %3 Elastan;Streç poplin/gabardin;16.5
Women;Dresses;Abiye elbise;Dokuma;%45 Yün / %55 Polyester;Yünlü ceket/gömlek;43.9
Women;Dresses;Abiye elbise;Dokuma;%48 Polyester / %52 Viskon;Oxford;12.1
Women;Dresses;Abiye elbise;Dokuma;%97 Polyester / %3 Elastan;Elbiselik saten;14.4
Women;Dresses;Abiye elbise;Dokuma;%78 Pamuk / %18 Naylon / %4 Elastan;Spor poplin;17.2
Women;Dresses;Abiye elbise;Dokuma;%50 Pamuk / %17 Polyester / %13 Viskon / %20 Keten;Lüks karışım;15.3
Women;Dresses;Abiye elbise;Dokusuz Yüzey;%100 Polipropilen;Spunbond, hijyen ürünleri;2.0
Women;Dresses;Abiye elbise;Dokusuz Yüzey;%80 Polipropilen / %20 Polyester;Döşemelik, nonwoven;4.4
Women;Dresses;Abiye elbise;Dokusuz Yüzey;%50 Polyester / %50 Viskon;Tıbbi bez, temizlik bezi;12.1
Women;Dresses;Abiye elbise;Dokusuz Yüzey;%60 Polyester / %40 Viskon;Tek kullanımlık battaniye;12.6
Women;Dresses;Abiye elbise;Dokusuz Yüzey;%100 Viskon;Hijyenik ped;10.1
Women;Dresses;Abiye elbise;Dokusuz Yüzey;%100 Pamuk;Medikal gazlı bez;16.4
Women;Dresses;Abiye elbise;Dokusuz Yüzey;%80 Pamuk / %20 Polyester;Cerrahi örtü;16.0
Women;Dresses;Abiye elbise;Denim;%100 Pamuk;Geleneksel kot;16.4
Women;Dresses;Abiye elbise;Denim;%99 Pamuk / %1 Elastan;Streç jean;16.4
Women;Dresses;Abiye elbise;Denim;%98 Pamuk / %2 Elastan;Skinny denim;16.5
Women;Dresses;Abiye elbise;Denim;%95 Pamuk / %5 Elastan;Body-fit jean;16.6
Women;Dresses;Abiye elbise;Denim;%85 Pamuk / %12 Polyester / %3 Elastan;Levi’s High Jeans;16.2
Women;Dresses;Abiye elbise;Denim;%80 Pamuk / %19 Polyester / %1 Elastan;Lucky Brand denim;16.0
Women;Dresses;Abiye elbise;Denim;%65 Pamuk / %35 Polyester;Karışımlı denim;15.6
Women;Dresses;Abiye elbise;Denim;%60 Pamuk / %38 Polyester / %2 Elastan;Streç denim;15.6
Women;Dresses;Abiye elbise;Denim;%80 Pamuk / %20 Recycled Pamuk;Sürdürülebilir denim;16.4
Women;Dresses;Abiye elbise;Denim;%70 Pamuk / %29 Polyester / %1 Elastan;Esnek jean;15.8
Women;Other;Pijama takımı;Yuvarlak Örme;%95 Pamuk / %5 Elastan;Tişört, basic jersey;16.6
Women;Other;Pijama takımı;Yuvarlak Örme;%60 Pamuk / %40 Polyester;Sweatshirt, polar;15.5
Women;Other;Pijama takımı;Yuvarlak Örme;%65 Pamuk / %35 Polyester;Basic örme kumaş;15.6
Women;Other;Pijama takımı;Yuvarlak Örme;%50 Pamuk / %50 Polyester;Tişört, nevresim;15.3
Women;Other;Pijama takımı;Yuvarlak Örme;%79 Viskon / %17 Polyester / %4 Elastan;Jogger, tayt;11.2
Women;Other;Pijama takımı;Yuvarlak Örme;%91 Polyester / %9 Elastan;Spor tişört;14.7
Women;Other;Pijama takımı;Yuvarlak Örme;%88 Naylon / %12 Elastan;Spor tayt, iç giyim;20.0
Women;Other;Pijama takımı;Yuvarlak Örme;%95 Modal / %5 Elastan;Spor üst, atlet;10.6
Women;Other;Pijama takımı;Yuvarlak Örme;%97 Pamuk / %3 Elastan;Hafif streçli tişört;16.5
Women;Other;Pijama takımı;Düz Örme;%100 Akrilik;Ekonomik kazak;21.1
Women;Other;Pijama takımı;Düz Örme;%80 Akrilik / %20 Polyester;Dayanıklı akrilik/polyester;19.7
Women;Other;Pijama takımı;Düz Örme;%50 Akrilik / %50 Yün;Sıcak tutan triko;50.7
Women;Other;Pijama takımı;Düz Örme;%80 Yün / %20 Naylon;Şekil koruyucu triko;68.2
Women;Other;Pijama takımı;Düz Örme;%70 Viskon / %30 Polyester;Yumuşak, akıcı triko;11.3
Women;Other;Pijama takımı;Düz Örme;%95 Viskon / %5 Elastan;İnce bluz;10.6
Women;Other;Pijama takımı;Düz Örme;%100 Pamuk;Yazlık triko;16.4
Women;Other;Pijama takımı;Düz Örme;%95 Pamuk / %5 Elastan;Streç tişört/kazak;16.6
Women;Other;Pijama takımı;Dokuma;%100 Pamuk;Denim, gömlek, gabardin;16.4
Women;Other;Pijama takımı;Dokuma;%61 Pamuk / %39 Polyester;Poplin gömleklik;15.5
Women;Other;Pijama takımı;Dokuma;%65 Polyester / %35 Pamuk;Gabardin;15.0
Women;Other;Pijama takımı;Dokuma;%97 Pamuk / %3 Elastan;Streç poplin/gabardin;16.5
Women;Other;Pijama takımı;Dokuma;%45 Yün / %55 Polyester;Yünlü ceket/gömlek;43.9
Women;Other;Pijama takımı;Dokuma;%48 Polyester / %52 Viskon;Oxford;12.1
Women;Other;Pijama takımı;Dokuma;%97 Polyester / %3 Elastan;Elbiselik saten;14.4
Women;Other;Pijama takımı;Dokuma;%78 Pamuk / %18 Naylon / %4 Elastan;Spor poplin;17.2
Women;Other;Pijama takımı;Dokuma;%50 Pamuk / %17 Polyester / %13 Viskon / %20 Keten;Lüks karışım;15.3
Women;Other;Pijama takımı;Dokusuz Yüzey;%100 Polipropilen;Spunbond, hijyen ürünleri;2.0
Women;Other;Pijama takımı;Dokusuz Yüzey;%80 Polipropilen / %20 Polyester;Döşemelik, nonwoven;4.4
Women;Other;Pijama takımı;Dokusuz Yüzey;%50 Polyester / %50 Viskon;Tıbbi bez, temizlik bezi;12.1
Women;Other;Pijama takımı;Dokusuz Yüzey;%60 Polyester / %40 Viskon;Tek kullanımlık battaniye;12.6
Women;Other;Pijama takımı;Dokusuz Yüzey;%100 Viskon;Hijyenik ped;10.1
Women;Other;Pijama takımı;Dokusuz Yüzey;%100 Pamuk;Medikal gazlı bez;16.4
Women;Other;Pijama takımı;Dokusuz Yüzey;%80 Pamuk / %20 Polyester;Cerrahi örtü;16.0
Women;Other;Pijama takımı;Denim;%100 Pamuk;Geleneksel kot;16.4
Women;Other;Pijama takımı;Denim;%99 Pamuk / %1 Elastan;Streç jean;16.4
Women;Other;Pijama takımı;Denim;%98 Pamuk / %2 Elastan;Skinny denim;16.5
Women;Other;Pijama takımı;Denim;%95 Pamuk / %5 Elastan;Body-fit jean;16.6
Women;Other;Pijama takımı;Denim;%85 Pamuk / %12 Polyester / %3 Elastan;Levi’s High Jeans;16.2
Women;Other;Pijama takımı;Denim;%80 Pamuk / %19 Polyester / %1 Elastan;Lucky Brand denim;16.0
Women;Other;Pijama takımı;Denim;%65 Pamuk / %35 Polyester;Karışımlı denim;15.6
Women;Other;Pijama takımı;Denim;%60 Pamuk / %38 Polyester / %2 Elastan;Streç denim;15.6
Women;Other;Pijama takımı;Denim;%80 Pamuk / %20 Recycled Pamuk;Sürdürülebilir denim;16.4
Women;Other;Pijama takımı;Denim;%70 Pamuk / %29 Polyester / %1 Elastan;Esnek jean;15.8
Women;Other;Bikini & Mayo;Yuvarlak Örme;%95 Pamuk / %5 Elastan;Tişört, basic jersey;16.6
Women;Other;Bikini & Mayo;Yuvarlak Örme;%60 Pamuk / %40 Polyester;Sweatshirt, polar;15.5
Women;Other;Bikini & Mayo;Yuvarlak Örme;%65 Pamuk / %35 Polyester;Basic örme kumaş;15.6
Women;Other;Bikini & Mayo;Yuvarlak Örme;%50 Pamuk / %50 Polyester;Tişört, nevresim;15.3
Women;Other;Bikini & Mayo;Yuvarlak Örme;%79 Viskon / %17 Polyester / %4 Elastan;Jogger, tayt;11.2
Women;Other;Bikini & Mayo;Yuvarlak Örme;%91 Polyester / %9 Elastan;Spor tişört;14.7
Women;Other;Bikini & Mayo;Yuvarlak Örme;%88 Naylon / %12 Elastan;Spor tayt, iç giyim;20.0
Women;Other;Bikini & Mayo;Yuvarlak Örme;%95 Modal / %5 Elastan;Spor üst, atlet;10.6
Women;Other;Bikini & Mayo;Yuvarlak Örme;%97 Pamuk / %3 Elastan;Hafif streçli tişört;16.5
Women;Other;Bikini & Mayo;Düz Örme;%100 Akrilik;Ekonomik kazak;21.1
Women;Other;Bikini & Mayo;Düz Örme;%80 Akrilik / %20 Polyester;Dayanıklı akrilik/polyester;19.7
Women;Other;Bikini & Mayo;Düz Örme;%50 Akrilik / %50 Yün;Sıcak tutan triko;50.7
Women;Other;Bikini & Mayo;Düz Örme;%80 Yün / %20 Naylon;Şekil koruyucu triko;68.2
Women;Other;Bikini & Mayo;Düz Örme;%70 Viskon / %30 Polyester;Yumuşak, akıcı triko;11.3
Women;Other;Bikini & Mayo;Düz Örme;%95 Viskon / %5 Elastan;İnce bluz;10.6
Women;Other;Bikini & Mayo;Düz Örme;%100 Pamuk;Yazlık triko;16.4
Women;Other;Bikini & Mayo;Düz Örme;%95 Pamuk / %5 Elastan;Streç tişört/kazak;16.6
Women;Other;Bikini & Mayo;Dokuma;%100 Pamuk;Denim, gömlek, gabardin;16.4
Women;Other;Bikini & Mayo;Dokuma;%61 Pamuk / %39 Polyester;Poplin gömleklik;15.5
Women;Other;Bikini & Mayo;Dokuma;%65 Polyester / %35 Pamuk;Gabardin;15.0
Women;Other;Bikini & Mayo;Dokuma;%97 Pamuk / %3 Elastan;Streç poplin/gabardin;16.5
Women;Other;Bikini & Mayo;Dokuma;%45 Yün / %55 Polyester;Yünlü ceket/gömlek;43.9
Women;Other;Bikini & Mayo;Dokuma;%48 Polyester / %52 Viskon;Oxford;12.1
Women;Other;Bikini & Mayo;Dokuma;%97 Polyester / %3 Elastan;Elbiselik saten;14.4
Women;Other;Bikini & Mayo;Dokuma;%78 Pamuk / %18 Naylon / %4 Elastan;Spor poplin;17.2
Women;Other;Bikini & Mayo;Dokuma;%50 Pamuk / %17 Polyester / %13 Viskon / %20 Keten;Lüks karışım;15.3
Women;Other;Bikini & Mayo;Dokusuz Yüzey;%100 Polipropilen;Spunbond, hijyen ürünleri;2.0
Women;Other;Bikini & Mayo;Dokusuz Yüzey;%80 Polipropilen / %20 Polyester;Döşemelik, nonwoven;4.4
Women;Other;Bikini & Mayo;Dokusuz Yüzey;%50 Polyester / %50 Viskon;Tıbbi bez, temizlik bezi;12.1
Women;Other;Bikini & Mayo;Dokusuz Yüzey;%60 Polyester / %40 Viskon;Tek kullanımlık battaniye;12.6
Women;Other;Bikini & Mayo;Dokusuz Yüzey;%100 Viskon;Hijyenik ped;10.1
Women;Other;Bikini & Mayo;Dokusuz Yüzey;%100 Pamuk;Medikal gazlı bez;16.4
Women;Other;Bikini & Mayo;Dokusuz Yüzey;%80 Pamuk / %20 Polyester;Cerrahi örtü;16.0
Women;Other;Bikini & Mayo;Denim;%100 Pamuk;Geleneksel kot;16.4
Women;Other;Bikini & Mayo;Denim;%99 Pamuk / %1 Elastan;Streç jean;16.4
Women;Other;Bikini & Mayo;Denim;%98 Pamuk / %2 Elastan;Skinny denim;16.5
Women;Other;Bikini & Mayo;Denim;%95 Pamuk / %5 Elastan;Body-fit jean;16.6
Women;Other;Bikini & Mayo;Denim;%85 Pamuk / %12 Polyester / %3 Elastan;Levi’s High Jeans;16.2
Women;Other;Bikini & Mayo;Denim;%80 Pamuk / %19 Polyester / %1 Elastan;Lucky Brand denim;16.0
Women;Other;Bikini & Mayo;Denim;%65 Pamuk / %35 Polyester;Karışımlı denim;15.6
Women;Other;Bikini & Mayo;Denim;%60 Pamuk / %38 Polyester / %2 Elastan;Streç denim;15.6
Women;Other;Bikini & Mayo;Denim;%80 Pamuk / %20 Recycled Pamuk;Sürdürülebilir denim;16.4
Women;Other;Bikini & Mayo;Denim;%70 Pamuk / %29 Polyester / %1 Elastan;Esnek jean;15.8
Men;Tops;Tişört;Yuvarlak Örme;%95 Pamuk / %5 Elastan;Tişört, basic jersey;16.6
Men;Tops;Tişört;Yuvarlak Örme;%60 Pamuk / %40 Polyester;Sweatshirt, polar;15.5
Men;Tops;Tişört;Yuvarlak Örme;%65 Pamuk / %35 Polyester;Basic örme kumaş;15.6
Men;Tops;Tişört;Yuvarlak Örme;%50 Pamuk / %50 Polyester;Tişört, nevresim;15.3
Men;Tops;Tişört;Yuvarlak Örme;%79 Viskon / %17 Polyester / %4 Elastan;Jogger, tayt;11.2
Men;Tops;Tişört;Yuvarlak Örme;%91 Polyester / %9 Elastan;Spor tişört;14.7
Men;Tops;Tişört;Yuvarlak Örme;%88 Naylon / %12 Elastan;Spor tayt, iç giyim;20.0
Men;Tops;Tişört;Yuvarlak Örme;%95 Modal / %5 Elastan;Spor üst, atlet;10.6
Men;Tops;Tişört;Yuvarlak Örme;%97 Pamuk / %3 Elastan;Hafif streçli tişört;16.5
Men;Tops;Tişört;Düz Örme;%100 Akrilik;Ekonomik kazak;21.1
Men;Tops;Tişört;Düz Örme;%80 Akrilik / %20 Polyester;Dayanıklı akrilik/polyester;19.7
Men;Tops;Tişört;Düz Örme;%50 Akrilik / %50 Yün;Sıcak tutan triko;50.7
